disease,description1,description2,description3,description4,description5,description6,description7,description8,description9,description10
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, feet turned in, hot flashes, irregular heartbeat, nailbiting, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain","I have constipation, coryza, cross-eyed, diarrhea, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, sharp chest pain, vaginal redness","I have constipation, cross-eyed, feet turned in, hot flashes, nailbiting, problems with shape or size of breast, vaginal redness, weight gain","I have coryza, cross-eyed, feet turned in, hot flashes, nailbiting, problems with shape or size of breast, sharp chest pain, weight gain","I have constipation, coryza, hot flashes, irregular heartbeat, nailbiting, sharp chest pain, vaginal redness, weight gain","I have constipation, coryza, cross-eyed, diarrhea, feet turned in, hot flashes, irregular heartbeat, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain","I have constipation, coryza, cross-eyed, diarrhea, feet turned in, irregular heartbeat, problems with shape or size of breast, sharp chest pain, vaginal redness","I have constipation, coryza, cross-eyed, feet turned in, hot flashes, irregular heartbeat, problems with shape or size of breast, sharp chest pain","I have coryza, cross-eyed, diarrhea, hot flashes, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain","I have constipation, coryza, cross-eyed, diarrhea, hot flashes, irregular heartbeat, nailbiting, sharp chest pain, vaginal redness"
Acute bronchitis,"I have cloudy eye, constipation, coryza, cough, diarrhea, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, weight gain","I have cloudy eye, constipation, cough, feet turned in, hand or finger weakness, nailbiting, sharp chest pain, weight gain","I have cloudy eye, constipation, coryza, cough, feet turned in, hand or finger weakness, nailbiting, sharp chest pain, sore in nose","I have constipation, coryza, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, weight gain","I have cloudy eye, constipation, cough, diarrhea, feet turned in, nailbiting, sore in nose, weight gain","I have constipation, coryza, cough, diarrhea, feet turned in, hand or finger weakness, nailbiting, sore in nose","I have cloudy eye, constipation, coryza, cough, feet turned in, hand or finger weakness, sharp chest pain, weight gain","I have cloudy eye, coryza, cough, diarrhea, feet turned in, sharp abdominal pain, sore in nose, weight gain","I have cloudy eye, coryza, diarrhea, feet turned in, hand or finger weakness, sharp abdominal pain, sore in nose, weight gain","I have cloudy eye, constipation, coryza, cough, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sore in nose"
Acute bronchospasm,"I have changes in stool appearance, constipation, coryza, diarrhea, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, weight gain","I have changes in stool appearance, coryza, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose","I have changes in stool appearance, constipation, coryza, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, weight gain","I have changes in stool appearance, constipation, coryza, diarrhea, hand or finger weakness, nailbiting, sharp chest pain, vaginal redness","I have changes in stool appearance, constipation, coryza, feet turned in, hand or finger weakness, sharp chest pain, sore in nose, vaginal redness","I have changes in stool appearance, coryza, diarrhea, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, vaginal redness, weight gain","I have coryza, diarrhea, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, weight gain","I have changes in stool appearance, constipation, coryza, diarrhea, feet turned in, sharp chest pain, vaginal redness, weight gain","I have changes in stool appearance, diarrhea, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, vaginal redness","I have changes in stool appearance, constipation, diarrhea, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, weight gain"
Acute fatty liver of pregnancy (AFLP),"I have cramps and spasms, early or late onset of menopause, elbow swelling, elbow weakness, eye redness, hip pain, itching of scrotum, itchy ear(s), muscle weakness, pain during intercourse, seizures, wrist swelling","I have cramps and spasms, elbow swelling, eye redness, hip pain, itching of scrotum, itchy ear(s), muscle weakness, pain during intercourse, wrist swelling","I have cramps and spasms, elbow swelling, elbow weakness, eye redness, hip pain, itchy ear(s), muscle weakness, pain during intercourse, wrist swelling","I have cramps and spasms, early or late onset of menopause, hip pain, itching of scrotum, muscle weakness, pain during intercourse, seizures, wrist swelling","I have early or late onset of menopause, elbow swelling, eye redness, itching of scrotum, itchy ear(s), muscle weakness, pain during intercourse, wrist swelling","I have early or late onset of menopause, elbow swelling, eye redness, hip pain, itching of scrotum, itchy ear(s), muscle weakness, seizures, wrist swelling","I have cramps and spasms, early or late onset of menopause, elbow swelling, elbow weakness, eye redness, itchy ear(s), muscle weakness, pain during intercourse","I have cramps and spasms, early or late onset of menopause, elbow swelling, eye redness, itching of scrotum, muscle weakness, seizures, wrist swelling","I have cramps and spasms, elbow swelling, elbow weakness, hip pain, itching of scrotum, itchy ear(s), pain during intercourse, wrist swelling","I have early or late onset of menopause, elbow weakness, eye redness, hip pain, itching of scrotum, itchy ear(s), muscle weakness, pain during intercourse, wrist swelling"
Acute kidney injury,"I have blood in stool, disturbance of smell or taste, joint swelling, nasal congestion, penis redness, restlessness, seizures, sharp abdominal pain, sharp chest pain, symptoms of the face, vaginal redness, warts","I have blood in stool, disturbance of smell or taste, penis redness, restlessness, seizures, symptoms of the face, vaginal redness, warts","I have nasal congestion, penis redness, restlessness, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts","I have blood in stool, disturbance of smell or taste, nasal congestion, penis redness, restlessness, sharp abdominal pain, symptoms of the face, vaginal redness","I have joint swelling, nasal congestion, penis redness, restlessness, seizures, sharp abdominal pain, sharp chest pain, symptoms of the face, warts","I have blood in stool, disturbance of smell or taste, joint swelling, restlessness, sharp abdominal pain, sharp chest pain, symptoms of the face, vaginal redness, warts","I have joint swelling, nasal congestion, penis redness, sharp abdominal pain, sharp chest pain, symptoms of the face, vaginal redness, warts","I have blood in stool, joint swelling, nasal congestion, penis redness, seizures, sharp abdominal pain, sharp chest pain, symptoms of the face, warts","I have blood in stool, disturbance of smell or taste, nasal congestion, seizures, sharp chest pain, symptoms of the face, vaginal redness, warts","I have blood in stool, disturbance of smell or taste, joint swelling, nasal congestion, seizures, sharp chest pain, symptoms of the face, warts"
Acute otitis media,"I have constipation, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, nailbiting, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness","I have constipation, coryza, difficulty speaking, feet turned in, flu-like syndrome, nailbiting, problems with shape or size of breast, rectal bleeding, vaginal redness","I have dry or flaky scalp, feet turned in, flu-like syndrome, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness","I have constipation, coryza, difficulty speaking, dry or flaky scalp, nailbiting, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness","I have constipation, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, rectal bleeding, vaginal redness","I have constipation, difficulty speaking, dry or flaky scalp, feet turned in, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness","I have constipation, coryza, difficulty speaking, feet turned in, nailbiting, peripheral edema, rectal bleeding, sore in nose, vaginal redness","I have difficulty speaking, feet turned in, flu-like syndrome, nailbiting, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness","I have constipation, coryza, dry or flaky scalp, feet turned in, flu-like syndrome, rectal bleeding, sore in nose, vaginal redness","I have coryza, feet turned in, nailbiting, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness"
Acute pancreatitis,"I have absence of menstruation, back mass or lump, bumps on penis, diaper rash, heavy menstrual flow, lower abdominal pain, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unwanted hair, vaginal redness","I have absence of menstruation, bumps on penis, diaper rash, lower abdominal pain, seizures, sharp abdominal pain, shoulder weakness, unwanted hair, vaginal redness","I have bumps on penis, diaper rash, heavy menstrual flow, lower abdominal pain, seizures, sharp abdominal pain, shoulder weakness, unwanted hair, vaginal redness","I have absence of menstruation, back mass or lump, bumps on penis, diaper rash, heavy menstrual flow, lower abdominal pain, seizures, sharp abdominal pain, shoulder weakness, vaginal redness","I have absence of menstruation, bumps on penis, diaper rash, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unwanted hair","I have back mass or lump, heavy menstrual flow, lower abdominal pain, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unwanted hair","I have absence of menstruation, diaper rash, lower abdominal pain, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unwanted hair","I have bumps on penis, diaper rash, heavy menstrual flow, lower abdominal pain, nasal congestion, shoulder weakness, unwanted hair, vaginal redness","I have absence of menstruation, back mass or lump, bumps on penis, heavy menstrual flow, nasal congestion, seizures, sharp abdominal pain, shoulder weakness","I have back mass or lump, bumps on penis, diaper rash, heavy menstrual flow, seizures, sharp abdominal pain, shoulder weakness, unwanted hair, vaginal redness"
Acute respiratory distress syndrome (ARDS),"I have changes in stool appearance, chest tightness, cloudy eye, coryza, cough, depression, diarrhea, feet turned in, hot flashes, sharp abdominal pain, sharp chest pain, weight gain","I have changes in stool appearance, chest tightness, cloudy eye, coryza, depression, diarrhea, hot flashes, sharp chest pain, weight gain","I have changes in stool appearance, chest tightness, cloudy eye, cough, depression, feet turned in, hot flashes, sharp chest pain, weight gain","I have changes in stool appearance, chest tightness, coryza, depression, diarrhea, feet turned in, hot flashes, sharp abdominal pain, sharp chest pain","I have chest tightness, cloudy eye, coryza, depression, diarrhea, feet turned in, sharp abdominal pain, sharp chest pain, weight gain","I have changes in stool appearance, chest tightness, cloudy eye, coryza, cough, feet turned in, sharp abdominal pain, weight gain","I have changes in stool appearance, chest tightness, cloudy eye, diarrhea, feet turned in, hot flashes, sharp abdominal pain, weight gain","I have chest tightness, cloudy eye, coryza, cough, depression, diarrhea, feet turned in, hot flashes, sharp chest pain, weight gain","I have cloudy eye, coryza, cough, depression, feet turned in, sharp abdominal pain, sharp chest pain, weight gain","I have changes in stool appearance, chest tightness, cloudy eye, cough, feet turned in, hot flashes, sharp abdominal pain, weight gain"
Acute sinusitis,"I have constipation, coryza, cough, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose","I have constipation, coryza, eyelid swelling, feet turned in, hand or finger weakness, painful menstruation, side pain, sore in nose","I have constipation, cough, dry or flaky scalp, eyelid swelling, feet turned in, nailbiting, painful menstruation, side pain, sore in nose","I have constipation, cough, dry or flaky scalp, feet turned in, frequent urination, painful menstruation, side pain, sore in nose","I have constipation, coryza, eyelid swelling, feet turned in, frequent urination, nailbiting, painful menstruation, sore in nose","I have constipation, coryza, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain","I have constipation, coryza, cough, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, painful menstruation","I have constipation, coryza, dry or flaky scalp, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose","I have constipation, coryza, cough, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, side pain, sore in nose","I have constipation, coryza, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, sore in nose"
Acute stress reaction,"I have abnormal breathing sounds, antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain","I have antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, fainting, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain","I have abnormal breathing sounds, antisocial behavior, bumps on penis, depression, disturbance of smell or taste, fainting, sharp abdominal pain, sharp chest pain","I have abnormal breathing sounds, bumps on penis, changes in stool appearance, depression, disturbance of smell or taste, infrequent menstruation, sharp abdominal pain, sharp chest pain","I have antisocial behavior, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, fainting, sharp abdominal pain, sharp chest pain","I have abnormal breathing sounds, antisocial behavior, delusions or hallucinations, depression, disturbance of smell or taste, fainting, hand or finger weakness, sharp chest pain","I have abnormal breathing sounds, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain","I have antisocial behavior, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, fainting, infrequent menstruation, sharp abdominal pain","I have antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain","I have antisocial behavior, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Adjustment reaction,"I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, depression, emotional symptoms, hoarse voice, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes","I have antisocial behavior, delusions or hallucinations, depression, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, neck weakness, regurgitation","I have antisocial behavior, delusions or hallucinations, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, neck weakness, regurgitation, symptoms of the scrotum and testes","I have decreased heart rate, depression, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, neck weakness","I have decreased heart rate, delusions or hallucinations, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, neck weakness, symptoms of the scrotum and testes","I have decreased heart rate, delusions or hallucinations, depression, emotional symptoms, infrequent menstruation, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, fatigue, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, emotional symptoms, fatigue, infrequent menstruation, low back weakness, neck weakness, regurgitation"
