prognosis,symptoms_description
Scarlet fever,"I have coryza, feet turned in, groin mass, mouth dryness, penile discharge, side pain, skin pain, skin rash"
Scarlet fever,"I have constipation, coryza, feet turned in, mouth dryness, penile discharge, side pain, sore in nose, throat redness"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, fainting, fluid in ear, headache, infrequent menstruation, leg stiffness or tightness, pallor, pus in urine, sharp abdominal pain, sharp chest pain, warts"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, fainting, headache, leg stiffness or tightness, pus in urine, sharp abdominal pain, sharp chest pain"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, fainting, leg stiffness or tightness, pallor, sharp abdominal pain, sharp chest pain, warts"
Hypertensive heart disease,"I have changes in stool appearance, fainting, fluid in ear, headache, infrequent menstruation, pus in urine, sharp abdominal pain, warts"
Hypertensive heart disease,"I have diarrhea, fainting, fluid in ear, headache, leg stiffness or tightness, pallor, pus in urine, sharp abdominal pain"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, fainting, fluid in ear, infrequent menstruation, leg stiffness or tightness, sharp abdominal pain, sharp chest pain, warts"
Hypertensive heart disease,"I have changes in stool appearance, fainting, fluid in ear, headache, infrequent menstruation, pallor, pus in urine, sharp abdominal pain, warts"
Hypertensive heart disease,"I have fainting, headache, infrequent menstruation, leg stiffness or tightness, pus in urine, sharp abdominal pain, sharp chest pain, warts"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, headache, infrequent menstruation, leg stiffness or tightness, pallor, pus in urine, warts"
Hypertensive heart disease,"I have changes in stool appearance, diarrhea, fainting, fluid in ear, infrequent menstruation, pallor, pus in urine, sharp chest pain"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, hostile behavior, infant spitting up, insomnia, lip swelling, pain or soreness of breast, paresthesia, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have ache all over, coughing up sputum, heartburn, hostile behavior, insomnia, pain or soreness of breast, paresthesia, underweight"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, coughing up sputum, heartburn, hostile behavior, pain or soreness of breast, paresthesia, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, infant spitting up, insomnia, lip swelling, pain or soreness of breast, paresthesia, weakness"
Polycystic ovarian syndrome (PCOS),"I have ache all over, coughing up sputum, heartburn, infant spitting up, insomnia, lip swelling, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, insomnia, lip swelling, pain or soreness of breast, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, hostile behavior, insomnia, lip swelling, pain or soreness of breast, underweight"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, heartburn, hostile behavior, infant spitting up, insomnia, pain or soreness of breast, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, coughing up sputum, heartburn, hostile behavior, lip swelling, pain or soreness of breast, paresthesia, underweight, weakness"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, infant spitting up, pain or soreness of breast, paresthesia, underweight, weakness"
Encephalitis,"I have discharge in stools, disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have discharge in stools, disturbance of smell or taste, fainting, hand or finger weakness, jaw swelling, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have discharge in stools, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, palpitations, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have discharge in stools, fainting, hand or finger weakness, infrequent menstruation, leg lump or mass, leg swelling, long menstrual periods, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have fainting, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, leg swelling, palpitations, scanty menstrual flow"
Encephalitis,"I have disturbance of smell or taste, infrequent menstruation, jaw swelling, leg lump or mass, long menstrual periods, palpitations, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have fainting, hand or finger weakness, infrequent menstruation, leg lump or mass, long menstrual periods, palpitations, problems during pregnancy, scanty menstrual flow"
Encephalitis,"I have discharge in stools, fainting, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, long menstrual periods, palpitations, scanty menstrual flow"
Encephalitis,"I have discharge in stools, disturbance of smell or taste, fainting, jaw swelling, leg lump or mass, leg swelling, long menstrual periods, scanty menstrual flow"
Encephalitis,"I have disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, jaw swelling, leg lump or mass, long menstrual periods, problems during pregnancy, scanty menstrual flow"
Cyst of the eyelid,"I have abnormal involuntary movements, diminished hearing, early or late onset of menopause, eye strain, irritable infant, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have abnormal involuntary movements, diminished hearing, early or late onset of menopause, eye strain, mass on ear, pain during pregnancy, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have abnormal involuntary movements, diminished hearing, early or late onset of menopause, eye strain, mass on ear, pain during pregnancy, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have abnormal involuntary movements, diminished hearing, eye strain, irritable infant, mass on ear, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have diminished hearing, early or late onset of menopause, eye strain, irritable infant, mass on ear, pain during pregnancy, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have eye strain, irritable infant, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have diminished hearing, early or late onset of menopause, eye strain, irritable infant, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have diminished hearing, eye strain, irritable infant, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have diminished hearing, early or late onset of menopause, eye strain, irritable infant, muscle stiffness or tightness, skin pain, symptoms of bladder, white discharge from eye"
Cyst of the eyelid,"I have abnormal involuntary movements, diminished hearing, early or late onset of menopause, mass on ear, muscle stiffness or tightness, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, white discharge from eye"
Balanitis,"I have abdominal distention, coryza, depressive or psychotic symptoms, feet turned in, itching of scrotum, painful sinuses, pelvic pressure, penile discharge, penis pain, skin irritation, skin pain, stuttering or stammering"
Balanitis,"I have abdominal distention, coryza, depressive or psychotic symptoms, itching of scrotum, pelvic pressure, penis pain, skin pain, stuttering or stammering"
Balanitis,"I have abdominal distention, depressive or psychotic symptoms, feet turned in, painful sinuses, pelvic pressure, skin irritation, skin pain, stuttering or stammering"
Balanitis,"I have coryza, depressive or psychotic symptoms, itching of scrotum, pelvic pressure, penile discharge, penis pain, skin pain, stuttering or stammering"
Balanitis,"I have abdominal distention, coryza, depressive or psychotic symptoms, feet turned in, painful sinuses, pelvic pressure, skin irritation, skin pain"
Balanitis,"I have depressive or psychotic symptoms, feet turned in, itching of scrotum, painful sinuses, penile discharge, skin irritation, skin pain, stuttering or stammering"
Balanitis,"I have coryza, depressive or psychotic symptoms, feet turned in, itching of scrotum, pelvic pressure, penis pain, skin irritation, stuttering or stammering"
Balanitis,"I have abdominal distention, coryza, depressive or psychotic symptoms, feet turned in, itching of scrotum, pelvic pressure, penile discharge, skin irritation, stuttering or stammering"
Balanitis,"I have abdominal distention, coryza, depressive or psychotic symptoms, feet turned in, painful sinuses, skin irritation, skin pain, stuttering or stammering"
Balanitis,"I have coryza, feet turned in, itching of scrotum, painful sinuses, pelvic pressure, penis pain, skin irritation, skin pain"
Foreign body in the throat,"I have coryza, cough, diarrhea, difficulty eating, increased heart rate, infant feeding problem, lump over jaw, palpitations, sharp chest pain, sore in nose, throat redness, vaginal redness"
Foreign body in the throat,"I have coryza, difficulty eating, increased heart rate, infant feeding problem, lump over jaw, palpitations, sharp chest pain, sore in nose"
Foreign body in the throat,"I have coryza, cough, diarrhea, increased heart rate, lump over jaw, palpitations, sharp chest pain, sore in nose, throat redness, vaginal redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, difficulty eating, increased heart rate, lump over jaw, sharp chest pain, throat redness"
Foreign body in the throat,"I have coryza, cough, difficulty eating, infant feeding problem, palpitations, sharp chest pain, throat redness, vaginal redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, difficulty eating, increased heart rate, palpitations, sharp chest pain, sore in nose, throat redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, difficulty eating, increased heart rate, lump over jaw, sore in nose, throat redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, increased heart rate, lump over jaw, palpitations, sore in nose, throat redness, vaginal redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, increased heart rate, infant feeding problem, lump over jaw, palpitations, throat redness"
Foreign body in the throat,"I have coryza, cough, diarrhea, increased heart rate, infant feeding problem, lump over jaw, palpitations, sore in nose, throat redness"
Alcohol withdrawal,"I have abnormal breathing sounds, absence of menstruation, ankle weakness, decreased heart rate, depression, disturbance of smell or taste, facial pain, nasal congestion, scanty menstrual flow, sharp abdominal pain, vaginal redness, warts"
Alcohol withdrawal,"I have abnormal breathing sounds, ankle weakness, decreased heart rate, depression, facial pain, scanty menstrual flow, vaginal redness, warts"
Alcohol withdrawal,"I have absence of menstruation, ankle weakness, decreased heart rate, depression, disturbance of smell or taste, scanty menstrual flow, sharp abdominal pain, vaginal redness, warts"
Alcohol withdrawal,"I have absence of menstruation, ankle weakness, depression, facial pain, scanty menstrual flow, sharp abdominal pain, vaginal redness, warts"
Alcohol withdrawal,"I have abnormal breathing sounds, ankle weakness, decreased heart rate, disturbance of smell or taste, facial pain, nasal congestion, vaginal redness, warts"
Alcohol withdrawal,"I have abnormal breathing sounds, absence of menstruation, ankle weakness, decreased heart rate, disturbance of smell or taste, facial pain, nasal congestion, scanty menstrual flow, vaginal redness"
Alcohol withdrawal,"I have abnormal breathing sounds, absence of menstruation, depression, disturbance of smell or taste, facial pain, nasal congestion, sharp abdominal pain, vaginal redness, warts"
Alcohol withdrawal,"I have abnormal breathing sounds, absence of menstruation, decreased heart rate, depression, disturbance of smell or taste, facial pain, sharp abdominal pain, vaginal redness"
Alcohol withdrawal,"I have abnormal breathing sounds, ankle weakness, depression, disturbance of smell or taste, facial pain, nasal congestion, scanty menstrual flow, sharp abdominal pain"
Alcohol withdrawal,"I have abnormal breathing sounds, ankle weakness, depression, disturbance of smell or taste, facial pain, nasal congestion, sharp abdominal pain, warts"
Premature atrial contractions (PACs),"I have changes in stool appearance, disturbance of smell or taste, facial pain, fainting, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pallor, pus in sputum, sharp abdominal pain, sharp chest pain"
Premature atrial contractions (PACs),"I have facial pain, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pus in sputum, sharp abdominal pain, sharp chest pain"
Premature atrial contractions (PACs),"I have changes in stool appearance, disturbance of smell or taste, facial pain, fainting, frequent menstruation, pallor, pus in sputum, sharp abdominal pain, sharp chest pain"
Premature atrial contractions (PACs),"I have changes in stool appearance, disturbance of smell or taste, fainting, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, sharp chest pain"
Premature atrial contractions (PACs),"I have changes in stool appearance, disturbance of smell or taste, facial pain, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pus in sputum, sharp chest pain"
Premature atrial contractions (PACs),"I have disturbance of smell or taste, fainting, frequent menstruation, incontinence of stool, muscle stiffness or tightness, pallor, pus in sputum, sharp abdominal pain"
Premature atrial contractions (PACs),"I have changes in stool appearance, disturbance of smell or taste, facial pain, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pallor"
Premature atrial contractions (PACs),"I have facial pain, fainting, frequent menstruation, incontinence of stool, irregular belly button, muscle stiffness or tightness, pus in sputum, sharp abdominal pain"
Premature atrial contractions (PACs),"I have changes in stool appearance, facial pain, fainting, incontinence of stool, irregular belly button, pus in sputum, sharp abdominal pain, sharp chest pain"
Premature atrial contractions (PACs),"I have facial pain, fainting, incontinence of stool, irregular belly button, muscle stiffness or tightness, pallor, sharp abdominal pain, sharp chest pain"
Hemiplegia,"I have abnormal breathing sounds, arm pain, arm swelling, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, sleepwalking, warts"
Hemiplegia,"I have arm pain, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy, sleepwalking"
Hemiplegia,"I have abnormal breathing sounds, arm swelling, coughing up sputum, difficulty in swallowing, hand or finger weakness, long menstrual periods, scanty menstrual flow, sleepwalking"
Hemiplegia,"I have abnormal breathing sounds, arm pain, arm swelling, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, scanty menstrual flow"
Hemiplegia,"I have abnormal breathing sounds, arm pain, coughing up sputum, difficulty in swallowing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, sleepwalking"
Hemiplegia,"I have abnormal breathing sounds, arm pain, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, sleepwalking"
Hemiplegia,"I have abnormal breathing sounds, arm pain, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy"
Hemiplegia,"I have abnormal breathing sounds, coughing up sputum, difficulty in swallowing, flushing, hand or finger weakness, long menstrual periods, scanty menstrual flow, sleepwalking"
Hemiplegia,"I have abnormal breathing sounds, arm pain, arm swelling, coughing up sputum, long menstrual periods, problems during pregnancy, scanty menstrual flow, warts"
Hemiplegia,"I have abnormal breathing sounds, arm pain, arm swelling, coughing up sputum, difficulty in swallowing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, warts"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, leg stiffness or tightness, problems during pregnancy, wrist lump or mass, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, elbow lump or mass, foot or toe stiffness or tightness, knee pain, leg stiffness or tightness, problems during pregnancy, wrist lump or mass, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, leg stiffness or tightness, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, wrist stiffness or tightness"
Joint effusion,"I have ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, knee lump or mass, knee pain, leg stiffness or tightness, problems during pregnancy, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, foot or toe stiffness or tightness, knee pain, knee stiffness or tightness, wrist stiffness or tightness"
Joint effusion,"I have ankle stiffness or tightness, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, leg stiffness or tightness, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow stiffness or tightness, knee lump or mass, knee stiffness or tightness, leg stiffness or tightness, wrist lump or mass, wrist stiffness or tightness"
Joint effusion,"I have ankle stiffness or tightness, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, knee stiffness or tightness, problems during pregnancy, wrist lump or mass, wrist stiffness or tightness"
Joint effusion,"I have allergic reaction, ankle stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, foot or toe stiffness or tightness, knee lump or mass, knee pain, leg stiffness or tightness, problems during pregnancy, wrist lump or mass"
Meningioma,"I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Meningioma,"I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow"
Meningioma,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Meningioma,"I have depression, difficulty in swallowing, diminished hearing, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow"
Meningioma,"I have depression, difficulty in swallowing, discharge in stools, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Meningioma,"I have depression, difficulty in swallowing, difficulty speaking, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow"
Meningioma,"I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, disturbance of smell or taste, eyelid swelling, scanty menstrual flow, warts"
Meningioma,"I have depression, difficulty speaking, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, warts"
Meningioma,"I have depression, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow, warts"
Meningioma,"I have depression, discharge in stools, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, cross-eyed, difficulty in swallowing, discharge in stools, flushing, hand or finger weakness, leg swelling, scanty menstrual flow, sleepwalking, stiffness all over, warts"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, cross-eyed, difficulty in swallowing, discharge in stools, hand or finger weakness, leg swelling, sleepwalking, stiffness all over"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, cross-eyed, difficulty in swallowing, discharge in stools, hand or finger weakness, leg swelling, sleepwalking"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, discharge in stools, hand or finger weakness, scanty menstrual flow, sleepwalking, stiffness all over, warts"
Brain cancer,"I have arm swelling, cross-eyed, difficulty in swallowing, discharge in stools, leg swelling, scanty menstrual flow, sleepwalking, warts"
Brain cancer,"I have arm swelling, difficulty in swallowing, discharge in stools, flushing, hand or finger weakness, scanty menstrual flow, sleepwalking, stiffness all over, warts"
Brain cancer,"I have arm swelling, difficulty in swallowing, discharge in stools, hand or finger weakness, leg swelling, sleepwalking, stiffness all over, warts"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, difficulty in swallowing, hand or finger weakness, leg swelling, scanty menstrual flow, sleepwalking, stiffness all over, warts"
Brain cancer,"I have bleeding or discharge from nipple, difficulty in swallowing, discharge in stools, flushing, hand or finger weakness, leg swelling, sleepwalking, stiffness all over, warts"
Brain cancer,"I have arm swelling, bleeding or discharge from nipple, discharge in stools, flushing, hand or finger weakness, leg swelling, scanty menstrual flow, sleepwalking, warts"
Placental abruption,"I have coughing up sputum, cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, itchy ear(s), low urine output, nasal congestion, premenstrual tension or irritability, spots or clouds in vision, upper abdominal pain, wrist swelling"
Placental abruption,"I have coughing up sputum, cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, spots or clouds in vision, upper abdominal pain, wrist swelling"
Placental abruption,"I have coughing up sputum, elbow weakness, itchy ear(s), nasal congestion, premenstrual tension or irritability, spots or clouds in vision, upper abdominal pain, wrist swelling"
Placental abruption,"I have cramps and spasms, early or late onset of menopause, elbow weakness, low urine output, nasal congestion, premenstrual tension or irritability, spots or clouds in vision, upper abdominal pain"
Placental abruption,"I have coughing up sputum, cramps and spasms, early or late onset of menopause, excessive appetite, itchy ear(s), low urine output, premenstrual tension or irritability, upper abdominal pain"
Placental abruption,"I have coughing up sputum, cramps and spasms, elbow weakness, excessive appetite, itchy ear(s), low urine output, premenstrual tension or irritability, spots or clouds in vision"
Placental abruption,"I have coughing up sputum, cramps and spasms, elbow weakness, excessive appetite, itchy ear(s), low urine output, spots or clouds in vision, wrist swelling"
Placental abruption,"I have cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, low urine output, nasal congestion, spots or clouds in vision, upper abdominal pain, wrist swelling"
Placental abruption,"I have cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, itchy ear(s), premenstrual tension or irritability, upper abdominal pain, wrist swelling"
Placental abruption,"I have coughing up sputum, early or late onset of menopause, elbow weakness, itchy ear(s), low urine output, premenstrual tension or irritability, spots or clouds in vision, upper abdominal pain, wrist swelling"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, coryza, dry or flaky scalp, frequent urination, hand or finger weakness, irritable infant, lack of growth, nailbiting, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, dry or flaky scalp, frequent urination, hand or finger weakness, lack of growth, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, coryza, frequent urination, lack of growth, nailbiting, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have constipation, dry or flaky scalp, hand or finger weakness, lack of growth, nailbiting, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, frequent urination, hand or finger weakness, lack of growth, nailbiting, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, coryza, frequent urination, irritable infant, lack of growth, nailbiting, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, dry or flaky scalp, frequent urination, irritable infant, lack of growth, painful menstruation, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have coryza, dry or flaky scalp, frequent urination, hand or finger weakness, irritable infant, lack of growth, nailbiting, painful menstruation"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, coryza, dry or flaky scalp, frequent urination, hand or finger weakness, irritable infant, lack of growth, smoking problems, sore in nose"
Seasonal allergies (hay fever),"I have acne or pimples, constipation, dry or flaky scalp, frequent urination, hand or finger weakness, irritable infant, lack of growth, nailbiting, painful menstruation"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, diminished hearing, dizziness, eye burns or stings, eye deviation, foot or toe weakness, irregular appearing nails, knee weakness, pain during pregnancy, swollen eye, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, dizziness, eye deviation, foot or toe weakness, knee weakness, swollen eye, symptoms of bladder"
Eye alignment disorder,"I have cramps and spasms, diminished hearing, eye burns or stings, foot or toe weakness, irregular appearing nails, pain during pregnancy, swollen eye, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, dizziness, eye burns or stings, eye deviation, irregular appearing nails, knee weakness, pain during pregnancy, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, eye burns or stings, eye deviation, irregular appearing nails, knee weakness, pain during pregnancy, swollen eye, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, diminished hearing, dizziness, eye burns or stings, eye deviation, foot or toe weakness, irregular appearing nails, knee weakness, pain during pregnancy, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, dizziness, eye burns or stings, eye deviation, foot or toe weakness, irregular appearing nails, pain during pregnancy, swollen eye"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, diminished hearing, dizziness, eye burns or stings, foot or toe weakness, irregular appearing nails, knee weakness"
